id,title,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
4584.0,Sense and Sensibility,16000000.0,134582776.0,1995,20.058,7.461,136.0,24.677857142857142,249.70900000000003,40.869,10.636285714285716,118.00899999999999,34.825
1630.0,The People vs. Larry Flynt,36000000.0,20300385.0,1996,13.139,6.954,130.0,20.04814285714286,237.07600000000005,45.541,3.240428571428571,40.46,7.202
7863.0,Shine,5500000.0,35892330.0,1996,11.804,7.378,105.0,8.076857142857143,98.01599999999996,13.651,1.5371428571428571,14.969999999999999,2.423
9390.0,Jerry Maguire,50000000.0,273552592.0,1996,20.642,6.946,138.0,23.621999999999996,489.9150000000001,34.106,3.450428571428571,153.76599999999996,5.697
1592.0,Primal Fear,30000000.0,102616183.0,1996,27.387,7.648,129.0,20.653285714285712,250.31900000000002,29.935,2.2414285714285715,59.001999999999995,3.239
31908.0,Ghosts of Mississippi,36000000.0,13323144.0,1996,8.276,6.5,130.0,19.284142857142854,317.41300000000007,24.247,5.7374285714285715,56.56500000000001,12.603
11159.0,Secrets & Lies,4500000.0,13417292.0,1996,9.983,7.584,142.0,11.846571428571428,193.941,15.189,1.4627142857142859,11.439000000000002,2.984
9819.0,Marvin's Room,23000000.0,12803305.0,1996,14.323,6.72,98.0,27.69357142857143,233.65300000000002,70.374,8.935857142857143,102.32999999999998,50.058
275.0,Fargo,7000000.0,60611975.0,1996,19.613,7.87,98.0,19.758857142857142,183.47599999999997,26.647,6.917,89.93199999999999,8.931
145.0,Breaking the Waves,,3803298.0,1996,17.88,7.487,159.0,12.087428571428573,98.57199999999999,24.444,4.672285714285714,47.352000000000004,11.035
20539.0,The Crucible,25000000.0,7343114.0,1996,9.926,6.621,124.0,16.472714285714286,201.06300000000002,33.722,2.434285714285714,79.84699999999997,3.09
25189.0,The Mirror Has Two Faces,42000000.0,41083864.0,1996,12.774,6.668,126.0,25.223142857142857,252.42000000000002,43.379,9.177428571428573,157.925,11.215
409.0,The English Patient,27000000.0,231976425.0,1996,19.616,7.176,162.0,24.58642857142857,267.00399999999996,43.414,3.9304285714285716,89.93299999999999,6.761
36758.0,The Portrait of a Lady,,3692836.0,1996,9.489,5.971,144.0,22.826,229.54799999999997,33.86,1.9648571428571433,24.337000000000003,5.222
11000.0,The Birdcage,31000000.0,185260553.0,1996,16.156,7.025,117.0,15.447857142857142,183.90999999999994,30.578,4.079,44.004999999999995,8.479
10264.0,Hamlet,,20710451.0,1990,9.703,6.674,130.0,19.08814285714286,186.671,36.536,4.195,39.86900000000001,6.395
11076.0,Fly Away Home,22000000.0,25143818.0,1996,9.321,6.88,107.0,11.827142857142857,89.50800000000001,19.233,2.02,14.74,3.821
1770.0,Michael Collins,25000000.0,16900000.0,1996,13.0,6.9,132.0,31.361999999999995,343.2080000000001,69.329,2.839857142857143,31.381,4.112
8447.0,Angels and Insects,,,1995,3.911,6.5,118.0,13.218000000000002,95.544,22.77,1.435142857142857,25.543000000000006,1.686
124829.0,The Line King: The Al Hirschfeld Story,,,1996,1.581,6.2,86.0,10.216285714285714,81.12,26.385,0.6651428571428571,5.256,0.828
57016.0,Mandela,,,1996,2.498,6.1,118.0,1.05,4.2,1.62,1.4008571428571428,13.405999999999997,3.835
126998.0,Suzanne Farrell: Elusive Muse,,,1996,0.6,6.3,105.0,1.38,1.38,1.38,0.6,1.2,0.6
41221.0,Tell the Truth and Run: George Seldes and the American Press,,,1996,0.741,8.0,111.0,0.98,0.98,0.98,1.0093333333333334,3.028,1.214
10548.0,When We Were Kings,,2666118.0,1996,7.292,7.7,89.0,4.936857142857143,60.232,7.301,2.927428571428571,26.680000000000003,7.692
244906.0,Breathing Lessons: The Life and Work of Mark O'Brien,,,1996,0.6,6.6,35.0,0.6,0.6,0.6,1.9424,9.712,2.278
13799.0,Cosmic Voyage,,,1996,2.161,6.8,36.0,68.753,68.753,68.753,1.156285714285714,9.293999999999999,1.4
244907.0,An Essay on Matisse,,,1996,0.6,6.3,57.0,0.6,1.2,0.6,0.6,1.2,0.6
97975.0,Special Effects,,,1984,3.206,4.9,106.0,3.4048571428571424,27.434000000000005,10.149,1.7195714285714288,20.931000000000004,2.663
61086.0,The Wild Bunch: An Album in Montage,,,1996,0.915,6.9,34.0,10.826571428571427,81.26399999999998,27.121,1.3605,5.442,1.614
12709.0,Ridicule,3000000.0,2503829.0,1996,8.322,6.887,102.0,5.984428571428571,81.89499999999998,15.969,2.460285714285714,19.474,6.434
9327.0,The Nutty Professor,54000000.0,128769345.0,1996,16.173,5.623,95.0,16.601428571428574,155.43300000000002,28.173,6.313142857142857,148.27999999999994,9.781
199.0,Star Trek: First Contact,46000000.0,150000000.0,1996,24.089,7.304,111.0,25.91685714285714,281.53,39.208,6.878571428571427,267.358,18.086
819.0,Sleepers,44000000.0,165615285.0,1996,23.087,7.602,147.0,30.11242857142857,408.5,48.663,3.6861428571428574,40.979,6.673
3573.0,Emma,6000000.0,22231658.0,1996,12.583,6.734,121.0,22.495857142857144,209.905,38.785,3.9581428571428567,76.58299999999996,6.761
2925.0,The First Wives Club,26000000.0,116400000.0,1996,16.655,6.737,102.0,21.104571428571425,308.74,36.888,3.0719999999999996,81.08,4.417
10545.0,The Hunchback of Notre Dame,100000000.0,325338851.0,1996,40.04,7.098,91.0,18.010142857142856,279.7540000000001,27.946,3.4555714285714285,59.57800000000001,6.116
10539.0,James and the Giant Peach,38000000.0,28946127.0,1996,19.38,6.547,79.0,18.687714285714286,173.98299999999998,30.285,8.089857142857143,106.419,15.15
21539.0,The Preacher's Wife,40000000.0,48102795.0,1996,12.498,5.8,124.0,13.911142857142858,122.754,45.358,3.850142857142856,30.892999999999997,16.2
508533.0,Up Close and Personal,,,,0.6,,,0.6,0.6,0.6,,,
7300.0,One Fine Day,,97529550.0,1996,11.29,6.415,108.0,17.134571428571427,212.28199999999998,40.852,7.749571428571428,65.80199999999999,40.852
9591.0,That Thing You Do!,26000000.0,34585416.0,1996,15.573,6.873,108.0,50.63628571428573,537.5260000000001,153.542,47.30985714285714,425.482,153.542
8818.0,Evita,55000000.0,141047179.0,1996,12.714,6.158,135.0,11.925285714285716,96.67000000000002,35.526,6.536000000000001,109.20999999999998,8.573
