Index,id,original_title,popularity,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
196,280,Terminator 2: Judgment Day,75.386,102000000,520000000,1991,72.581,8.094,137,23.51485714,332.13,53.205,13.76442857,303.09,25.977
197,281,Strange Days,20.427,42000000,7959291,1995,15.819,6.996,145,30.349,351.882,56.117,14.76571429,259.996,25.977
198,284,The Apartment,19.066,3000000,25000000,1960,19.031,8.228,125,9.496714286,136.447,13.518,4.435428571,55.092,5.866
199,285,Pirates of the Caribbean: At World's End,102.853,300000000,961000000,2007,106.327,7.2,169,30.12514286,420.712,41.794,9.426714286,189.061,12.807
200,287,Bull Durham,13.693,7000000,50888000,1988,15.55,6.662,108,21.17771429,164.132,74.08,2.904285714,51.913,5.348
201,288,High Noon,17.067,730000,8000000,1952,20.168,7.7,85,11.37214286,196.716,16.22,2.188142857,36.558,4.464
202,289,Casablanca,21.681,878000,10462500,1942,21.582,8.171,102,9.924,236.731,14.716,3.019142857,44.489,4.988
203,290,Barton Fink,13.184,9000000,6153939,1991,17.824,7.465,117,21.51542857,230.505,28.287,5.192428571,56.103,5.36
204,293,A River Runs Through It,17.754,12000000,43440294,1992,18.796,7.042,123,20.91271429,201.26,36.303,6.836571429,71.22,17.377
205,294,Desert Hearts,13.079,350000,2400000,1985,11.548,7.239,91,7.854285714,66.107,15.693,1.418,14.726,3.44
206,296,Terminator 3: Rise of the Machines,44.877,200000000,435000000,2003,52.627,6.13,109,15.15685714,189.633,27.661,9.285857143,360.561,25.977
